Date,Close
7/3/2024,269.5
7/4/2024,265.35
7/5/2024,267.55
7/8/2024,270.6
7/9/2024,270.5
7/10/2024,267.77
7/11/2024,267.05
7/12/2024,280.08
7/15/2024,279.85
7/16/2024,279.85
7/18/2024,286.6
7/19/2024,278.6
7/22/2024,252.9
7/23/2024,250.28
7/24/2024,250.05
7/25/2024,253.43
7/26/2024,262.4
7/29/2024,262.2
7/30/2024,260.75
7/31/2024,261
8/1/2024,260.77
8/2/2024,251.08
8/5/2024,242.5
8/6/2024,244.75
8/7/2024,248.7
8/8/2024,243.65
8/9/2024,245.65
8/12/2024,244.53
8/13/2024,245.25
8/14/2024,247.58
8/16/2024,258.13
8/19/2024,259.88
8/20/2024,262.33
8/21/2024,263.18
8/22/2024,259.5
8/23/2024,256.2
8/26/2024,260
8/27/2024,258.58
8/28/2024,267.3
8/29/2024,269.35
8/30/2024,269.2
9/2/2024,266.23
9/3/2024,268.02
9/4/2024,259.58
9/5/2024,262.43
9/6/2024,260.3
9/9/2024,257.43
9/10/2024,262.88
9/11/2024,257.18
9/12/2024,265.02
9/13/2024,275.3
9/16/2024,275.95
9/17/2024,275.95
9/18/2024,269.08
9/19/2024,266.68
9/20/2024,269.55
9/23/2024,267.45
9/24/2024,269.77
9/25/2024,268.1
9/26/2024,270.95
9/27/2024,270.9
9/30/2024,270.73
10/1/2024,273.38
10/3/2024,265.08
10/4/2024,266.77
10/7/2024,265.73
10/8/2024,263.48
10/9/2024,265.58
10/10/2024,262.5
10/11/2024,264.15
10/14/2024,274.77
10/15/2024,266.48
10/16/2024,266.08
10/17/2024,264.38
10/18/2024,274.33
10/21/2024,274.05
10/22/2024,272.73
10/23/2024,273.6
10/24/2024,273.45
10/25/2024,271.73
10/28/2024,279.3
10/29/2024,281.1
10/30/2024,282.63
10/31/2024,275.9
11/4/2024,270.4
11/5/2024,271.85
11/6/2024,281.95
11/7/2024,281.7
11/8/2024,284.5
11/11/2024,286.75
11/12/2024,285.33
11/13/2024,284.5
11/14/2024,283.35
11/18/2024,276.43
11/19/2024,281
11/21/2024,278.58
11/22/2024,285.83
11/25/2024,291.23
11/26/2024,294.5
11/27/2024,291.45
11/28/2024,286.1
11/29/2024,288.93
12/2/2024,292.27
12/3/2024,291.65
12/4/2024,294
12/5/2024,299.3
12/6/2024,297.35
12/9/2024,303.75
12/10/2024,308.1
12/11/2024,309
12/12/2024,309.1
12/13/2024,309.95
12/16/2024,309.2
12/17/2024,308.85
12/18/2024,312.6
12/19/2024,312.75
12/20/2024,305.2
12/23/2024,307.9
12/24/2024,305.3
12/26/2024,305.05
12/27/2024,309.1
12/30/2024,303.7
12/31/2024,301.85
1/1/2025,300.3
1/2/2025,303.8
1/3/2025,294.45
1/6/2025,294.3
1/7/2025,294.05
1/8/2025,297.55
1/9/2025,292.3
1/10/2025,300.55
1/13/2025,291.85
1/14/2025,292.85
1/15/2025,292.65
1/16/2025,288.05
1/17/2025,281.95
1/20/2025,300.25
1/21/2025,298.35
1/22/2025,309.1
1/23/2025,317.7
1/24/2025,320.1
1/27/2025,307.95
1/28/2025,303.6
1/29/2025,312.45
1/30/2025,309
1/31/2025,311.9
2/3/2025,313.6
2/4/2025,316.25
2/5/2025,317.1
2/6/2025,317.95
2/7/2025,318
2/10/2025,319.05
2/11/2025,313
2/12/2025,310.2
2/13/2025,308.55
2/14/2025,308.1
2/17/2025,305.35
2/18/2025,312.2
2/19/2025,314.1
2/20/2025,313.3
2/21/2025,306.35
2/24/2025,295.05
2/25/2025,291.3
2/27/2025,294.5
2/28/2025,277.65
3/3/2025,283.55
3/4/2025,280
3/5/2025,285.1
3/6/2025,285.9
3/7/2025,284.8
3/10/2025,280.9
3/11/2025,277.75
3/12/2025,268.55
3/13/2025,264
3/17/2025,259.85
3/18/2025,261.25
3/19/2025,265.7
3/20/2025,268
3/21/2025,264.3
3/24/2025,269.4
3/25/2025,271
3/26/2025,267.4
3/27/2025,272.2
3/28/2025,262.25
4/1/2025,262.6
4/2/2025,263.6
4/3/2025,256.35
4/4/2025,246.3
4/7/2025,242.9
4/8/2025,247.25
4/9/2025,236.65
4/11/2025,239.75
4/15/2025,244
4/16/2025,247.65
4/17/2025,236.9
4/21/2025,238.45
4/22/2025,234.15
4/23/2025,243.6
4/24/2025,242.75
4/25/2025,240.9
4/28/2025,240.5
4/29/2025,241.4
4/30/2025,241.5
5/2/2025,242.87
5/5/2025,243.57
5/6/2025,241.19
5/7/2025,244.04
5/8/2025,241.57
5/9/2025,242.01
5/12/2025,257.28
5/13/2025,251.57
5/14/2025,252.94
5/15/2025,256.57
5/16/2025,254.31
5/19/2025,251.75
5/20/2025,249.71
5/21/2025,250.92
5/22/2025,245.94
5/23/2025,247.36
5/26/2025,250.24
5/27/2025,248.25
5/28/2025,247.43
5/29/2025,250.14
5/30/2025,249.67
6/2/2025,247.68
6/3/2025,246.22
6/4/2025,246.86
6/5/2025,247.94
6/6/2025,248.59
6/9/2025,251.29
6/10/2025,254.87
6/11/2025,258.92
6/12/2025,259.61
6/13/2025,260.21
6/16/2025,262.89
6/17/2025,262.91
6/18/2025,261.59
6/19/2025,265.58
6/20/2025,266.54
6/23/2025,263.24
6/24/2025,264.97
6/25/2025,269.41
6/26/2025,268.52
6/27/2025,265.05
6/30/2025,265.98
7/1/2025,264.55
7/2/2025,267
7/3/2025,267.05
7/4/2025,270.05
7/7/2025,267.75
7/8/2025,269.65
7/9/2025,267.8
7/10/2025,265.05
7/11/2025,258.3
7/14/2025,254.25
7/15/2025,257.4
7/16/2025,262.8
7/17/2025,260.6
7/18/2025,266.95
7/21/2025,260.35
7/22/2025,259.7
